id,name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GIO,Antonio Giovinazzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sauber,,alpharomeo
GLO,Timo Glock,,,,,,,,,,,,,,,,,,jordan,,,,toyota,toyota,marussia,marussia,marussia,,,,,,,
GOU,Jean-Marc Gounon,,,,,,,march+minardi,simtek,,,,,,,,,,,,,,,,,,,,,,,,,
DIG,Lucas di Grassi,,,,,,,,,,,,,,,,,,,,,,,,marussia,,,,,,,,,
GRO,Olivier Grouillard,,,ligier,osella,fondmetal+ags,tyrrell,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRO,Romain Grosjean,,,,,,,,,,,,,,,,,,,,,,,renault,,,lotusf1,lotusf1,lotusf1,lotusf1,haas,haas,haas,haas
GUG,Maurício Gugelmin,,march,march,leytonhouse,leytonhouse,jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUT,Esteban Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,sauber,sauber,sauber,haas,,,
HAK,Mika Häkkinen,,,,,teamlotus,teamlotus,mclaren,mclaren,mclaren,mclaren,mclaren,mclaren,mclaren,mclaren,mclaren,,,,,,,,,,,,,,,,,,
HAM,Lewis Hamilton,,,,,,,,,,,,,,,,,,,,,mclaren,mclaren,mclaren,mclaren,mclaren,mclaren,mercedes,mercedes,mercedes,mercedes,mercedes,mercedes,mercedes
HAR,Brendon Hartley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,torrorosso,torrorosso,
HAR,Rio Haryanto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manorracing,,,
HAT,Naoki Hattori,,,,,coloni,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEI,Nick Heidfeld,,,,,,,,,,,,,,prost,sauber,sauber,sauber,jordan,williams,bmwsauber,bmwsauber,bmwsauber,bmwsauber,bmwsauber,renault,,,,,,,,
HER,Johnny Herbert,,,tyrrell+benetton,teamlotus,teamlotus,teamlotus,teamlotus,teamlotus+ligier+benetton,benetton,sauber,sauber,sauber,stewart,jaguar,,,,,,,,,,,,,,,,,,,
HIL,Damon Hill,,,,,,brabham,williams,williams,williams,williams,arrows,jordan,jordan,,,,,,,,,,,,,,,,,,,,
HUL,Nico Hülkenberg,,,,,,,,,,,,,,,,,,,,,,,,williams,forceindia,forceindia,sauber,forceindia,forceindia,forceindia,renault,renault,renault
IDE,Yuji Ide,,,,,,,,,,,,,,,,,,,,superaguri,,,,,,,,,,,,,
INO,Taki Inoue,,,,,,,,simtek,footwork,,,,,,,,,,,,,,,,,,,,,,,,
IRV,Eddie Irvine,,,,,,,jordan,jordan,jordan,ferrari,ferrari,ferrari,ferrari,jaguar,jaguar,jaguar,,,,,,,,,,,,,,,,,
JOH,Stefan Johansson,mclaren,ligier,onyx,onyx,footwork+ags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAR,Narain Karthikeyan,,,,,,,,,,,,,,,,,,,jordan,,,,,,hrt,hrt,,,,,,,
KAT,Ukyo Katayama,,,,,,venturi,tyrrell,tyrrell,tyrrell,tyrrell,minardi,,,,,,,,,,,,,,,,,,,,,,
KIE,Nicolas Kiesa,,,,,,,,,,,,,,,,,minardi,,,,,,,,,,,,,,,,
KLI,Christian Klien,,,,,,,,,,,,,,,,,,jaguar,redbull,redbull,,,,hrt,,,,,,,,,
KOB,Kamui Kobayashi,,,,,,,,,,,,,,,,,,,,,,,toyota,bmwsauber,sauber,sauber,,caterham,,,,,
KOV,Heikki Kovalainen,,,,,,,,,,,,,,,,,,,,,renault,mclaren,mclaren,teamlotus,teamlotus,caterham,lotusf1,,,,,,
KUB,Robert Kubica,,,,,,,,,,,,,,,,,,,,bmwsauber,bmwsauber,bmwsauber,bmwsauber,renault,,,,,,,,,williams
KVY,Daniil Kvyat,,,,,,,,,,,,,,,,,,,,,,,,,,,,torrorosso,redbull,redbull+torrorosso,torrorosso,,torrorosso
LAG,Franck Lagorce,,,,,,,,ligier,,,,,,,,,,,,,,,,,,,,,,,,,
LAM,Jan Lammers,,,,,,march,march,,,,,,,,,,,,,,,,,,,,,,,,,,
LAM,Pedro Lamy,,,,,,,teamlotus,teamlotus,minardi,minardi,,,,,,,,,,,,,,,,,,,,,,,
LAN,Claudio Langes,,,,eurobrun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAR,Nicola Larini,coloni,osella,osella,ligier,lambo,ferrari,,ferrari,,,sauber,,,,,,,,,,,,,,,,,,,,,,
LAV,Giovanni Lavaggi,,,,,,,,,pacific,minardi,,,,,,,,,,,,,,,,,,,,,,,
LEC,Charles Leclarc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alpharomeo,ferrari
LEH,JJ Lehto,,,onyx,onyx,dallara,dallara,sauber,benetton+sauber,,,,,,,,,,,,,,,,,,,,,,,,,
LIU,Vitantonio Liuzzi,,,,,,,,,,,,,,,,,,,redbull,torrorosso,torrorosso,,forceindia,forceindia,hrt,,,,,,,,
LOT,André Lotterer,,,,,,,,,,,,,,,,,,,,,,,,,,,,caterham,,,,,
MAG,Jan Magnussen,,,,,,,,,mclaren,,stewart,stewart,,,,,,,,,,,,,,,,,,,,,
MAG,Kevin Magnussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,mclaren,,renault,haas,haas,haas
MAL,Pastor Maldonado,,,,,,,,,,,,,,,,,,,,,,,,,williams,williams,williams,lotusf1,lotusf1,,,,
MAN,Nigel Mansell,williams,williams,ferrari,ferrari,williams,williams,,williams,mclaren,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Pierluigi Martini,,minardi,minardi,minardi,minardi,dallara,minardi,minardi,minardi,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Tarso Marques,,,,,,,,,,minardi,minardi,,,,minardi,,,,,,,,,,,,,,,,,,
MAS,Felipe Massa,,,,,,,,,,,,,,,,sauber,,sauber,sauber,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,williams,williams,williams,williams,,
MAT,Cristiano da Matta,,,,,,,,,,,,,,,,,toyota,toyota,,,,,,,,,,,,,,,
MAZ,Gastón Mazzacane,,,,,,,,,,,,,,minardi,prost,,,,,,,,,,,,,,,,,,
MCC,Perry McCarthy,,,,,,andreamoda,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN,Allan McNish,,,,,,,,,,,,,,,,toyota,,,,,,,,,,,,,,,,,
MER,Roberto Merhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manorracing,,,,
MOD,Stefano Modena,brabham,eurobrun,brabham,brabham,tyrrell,jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON,Andrea Montermini,,,,,,,,simtek,pacific,forti,,,,,,,,,,,,,,,,,,,,,,,
MON,Tiago Monteiro,,,,,,,,,,,,,,,,,,,jordan,midland,,,,,,,,,,,,,
MOR,Gianni Morbidelli,,,,dallara+minardi,minardi+ferrari,minardi,,footwork,footwork,,sauber,,,,,,,,,,,,,,,,,,,,,,
MOR,Roberto Moreno,ags,,coloni,eurobrun+benetton,benetton+jordan+minardi,andreamoda,,,forti,,,,,,,,,,,,,,,,,,,,,,,,
MOT,Franck Montagny,,,,,,,,,,,,,,,,,,,,superaguri,,,,,,,,,,,,,
MOY,Juan Pablo Montoya,,,,,,,,,,,,,,,williams,williams,williams,williams,mclaren,mclaren,,,,,,,,,,,,,
MSC,Michael Schumacher,,,,,jordan+benetton,benetton,benetton,benetton,benetton,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,ferrari,,,,mercedes,mercedes,mercedes,,,,,,,
NAK,Kazuki Nakajima,,,,,,,,,,,,,,,,,,,,,williams,williams,williams,,,,,,,,,,
NAK,Satoru Nakajima,teamlotus,teamlotus,teamlotus,tyrrell,tyrrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAK,Shinji Nakano,,,,,,,,,,,prost,minardi,,,,,,,,,,,,,,,,,,,,,
NAN,Alessandro Nannini,minardi,benetton,benetton,benetton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAS,Emanuele Naspetti,,,,,,march,jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
NAS,Felipe Nasr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sauber,sauber,,,
